PRODUCT_ID,PRODUCT_NAME,CATEGORY,SUB_CATEGORY,BRAND,UNIT_PRICE,COST_PRICE,PRODUCT_STATUS,CREATED_DATE,UPDATED_DATE
200001,,Electronics,Laptops,Tata,95136.69,70519.04,INACTIVE,2023-04-16 07:00:00,2024-01-25 07:00:00
200002,,Beauty,Personal Care,Lakme,77668.43,52108.29,ACTIVE,2025-03-02 18:00:00,2025-10-13 18:00:00
200003,,Electronics,Accessories,Apple,11118.12,9089.54,DISCONTINUED,2024-04-05 00:00:00,2024-12-12 00:00:00
200004,,Home,Kitchen,Puma,25188.73,22442.16,DISCONTINUED,2024-01-01 12:00:00,2024-09-19 12:00:00
200005,,Electronics,Accessories,Adidas,9012.01,6237.47,DISCONTINUED,2023-10-22 14:00:00,2024-01-02 14:00:00
200006,,Beauty,Hair Care,Samsung,84787.04,52227.13,INACTIVE,2024-04-17 13:00:00,2024-06-02 13:00:00
200007,,Beauty,Personal Care,Nestle,86729.17,55632.38,INACTIVE,2025-04-01 19:00:00,2025-12-08 19:00:00
200008,,Beauty,Hair Care,Puma,56421.81,50329.3,DISCONTINUED,2024-06-09 16:00:00,2024-06-21 16:00:00
200009,Samsung Beverages Product 9,,Beverages,Samsung,96274.39,65991.03,INACTIVE,2024-11-17 03:00:00,2025-06-24 03:00:00
200010,LG Snacks Product 10,,Snacks,LG,84970.4,42902.06,DISCONTINUED,2024-12-18 14:00:00,2025-08-15 14:00:00
200011,Tata Hair Care Product 11,,Hair Care,Tata,40237.93,36181.86,DISCONTINUED,2024-07-15 20:00:00,2025-03-28 20:00:00
200012,Puma Women Product 12,,Women,Puma,20293.01,16728.11,DISCONTINUED,2023-01-10 01:00:00,2023-03-27 01:00:00
200013,Tata Hair Care Product 13,,Hair Care,Tata,92699.42,56729.37,INACTIVE,2023-07-24 08:00:00,2024-03-28 08:00:00
200014,Puma Hair Care Product 14,,Hair Care,Puma,55805.91,47896.53,INACTIVE,2025-05-01 09:00:00,2025-10-10 09:00:00
200015,Lakme Laptops Product 15,,Laptops,Lakme,71666.02,63281.01,INACTIVE,2023-09-23 14:00:00,2023-12-25 14:00:00
200016,Prestige Men Product 16,,Men,Prestige,26683.29,17992.26,ACTIVE,2023-04-09 06:00:00,2023-11-05 06:00:00
