PRODUCT_KEY,PRODUCT_ID,PRODUCT_NAME,CATEGORY,SUB_CATEGORY,BRAND,PRODUCT_STATUS,CREATED_AT,UPDATED_AT
1,202002,Lakme Men Product 58,Fashion,Men,Lakme,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
2,202001,Lg Personal Care Product 57,Beauty,Personal Care,Lg,ACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
0,-1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-07-14 16:35:21.505,2026-07-14 16:35:21.505
101,200057,Lg Personal Care Product 57,Beauty,Personal Care,Lg,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
102,200058,Lakme Men Product 58,Fashion,Men,Lakme,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
103,200059,Lakme Skin Care Product 59,Beauty,Skin Care,Lakme,ACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
104,200060,Prestige Accessories Product 60,Electronics,Accessories,Prestige,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
105,200061,Tata Kitchen Product 61,Home,Kitchen,Tata,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
106,200062,Apple Accessories Product 62,Electronics,Accessories,Apple,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
107,200063,Tata Men Product 63,Fashion,Men,Tata,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
108,200064,Apple Mobiles Product 64,Electronics,Mobiles,Apple,ACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
109,200065,Tata Furniture Product 65,Home,Furniture,Tata,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
110,200066,Lg Kitchen Product 66,Home,Kitchen,Lg,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
111,200067,Lg Hair Care Product 67,Beauty,Hair Care,Lg,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
112,200068,Apple Furniture Product 68,Home,Furniture,Apple,DISCONTINUED,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
113,200069,Adidas Kitchen Product 69,Home,Kitchen,Adidas,DISCONTINUED,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
114,200070,Puma Footwear Product 70,Fashion,Footwear,Puma,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
115,200071,Nestle Accessories Product 71,Electronics,Accessories,Nestle,DISCONTINUED,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
116,200072,Adidas Snacks Product 72,Grocery,Snacks,Adidas,ACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
117,200073,Lakme Decor Product 73,Home,Decor,Lakme,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
118,200074,Samsung Women Product 74,Fashion,Women,Samsung,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
119,200075,Nestle Mobiles Product 75,Electronics,Mobiles,Nestle,DISCONTINUED,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
120,200076,Samsung Staples Product 76,Grocery,Staples,Samsung,DISCONTINUED,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
121,200077,Nike Staples Product 77,Grocery,Staples,Nike,ACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
122,200078,Nike Mobiles Product 78,Electronics,Mobiles,Nike,ACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
123,200079,Prestige Footwear Product 79,Fashion,Footwear,Prestige,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
124,200080,Samsung Furniture Product 80,Home,Furniture,Samsung,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
125,200081,Nike Snacks Product 81,Grocery,Snacks,Nike,ACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
126,200082,Lakme Men Product 82,Fashion,Men,Lakme,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
127,200083,Tata Skin Care Product 83,Beauty,Skin Care,Tata,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
128,200084,Tata Beverages Product 84,Grocery,Beverages,Tata,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
129,200085,Lg Accessories Product 85,Electronics,Accessories,Lg,ACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
130,200086,Nike Skin Care Product 86,Beauty,Skin Care,Nike,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
131,200087,Philips Footwear Product 87,Fashion,Footwear,Philips,DISCONTINUED,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
132,200088,Prestige Beverages Product 88,Grocery,Beverages,Prestige,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
133,200089,Nike Beverages Product 89,Grocery,Beverages,Nike,ACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
134,200090,Prestige Mobiles Product 90,Electronics,Mobiles,Prestige,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
135,200091,Adidas Staples Product 91,Grocery,Staples,Adidas,ACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
136,200092,Lakme Kitchen Product 92,Home,Kitchen,Lakme,DISCONTINUED,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
137,200093,Samsung Furniture Product 93,Home,Furniture,Samsung,DISCONTINUED,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
138,200094,Sony Men Product 94,Fashion,Men,Sony,ACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
139,200095,Lakme Hair Care Product 95,Beauty,Hair Care,Lakme,DISCONTINUED,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
140,200096,Philips Footwear Product 96,Fashion,Footwear,Philips,ACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
141,200097,Lakme Laptops Product 97,Electronics,Laptops,Lakme,DISCONTINUED,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
142,200098,Puma Men Product 98,Fashion,Men,Puma,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
143,200099,Samsung Furniture Product 99,Home,Furniture,Samsung,ACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
144,200100,Tata Mobiles Product 100,Electronics,Mobiles,Tata,DISCONTINUED,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
145,200101,Nike Hair Care Product 101,Beauty,Hair Care,Nike,DISCONTINUED,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
146,200102,Nike Skin Care Product 102,Beauty,Skin Care,Nike,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
147,200103,Puma Skin Care Product 103,Beauty,Skin Care,Puma,DISCONTINUED,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
148,200104,Adidas Mobiles Product 104,Electronics,Mobiles,Adidas,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
149,200105,Lakme Mobiles Product 105,Electronics,Mobiles,Lakme,DISCONTINUED,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
150,200106,Nestle Snacks Product 106,Grocery,Snacks,Nestle,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
151,200107,Adidas Staples Product 107,Grocery,Staples,Adidas,ACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
152,200108,Nestle Accessories Product 108,Electronics,Accessories,Nestle,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
153,200109,Nestle Accessories Product 109,Electronics,Accessories,Nestle,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
154,200110,Philips Footwear Product 110,Fashion,Footwear,Philips,ACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
155,200111,Lg Hair Care Product 111,Beauty,Hair Care,Lg,ACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
156,200112,Samsung Women Product 112,Fashion,Women,Samsung,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
157,200113,Nike Kitchen Product 113,Home,Kitchen,Nike,ACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
158,200114,Prestige Footwear Product 114,Fashion,Footwear,Prestige,DISCONTINUED,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
159,200115,Prestige Mobiles Product 115,Electronics,Mobiles,Prestige,DISCONTINUED,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
160,200116,Lg Laptops Product 116,Electronics,Laptops,Lg,ACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
161,200117,Tata Skin Care Product 117,Beauty,Skin Care,Tata,DISCONTINUED,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
162,200118,Tata Kitchen Product 118,Home,Kitchen,Tata,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
163,200119,Nestle Skin Care Product 119,Beauty,Skin Care,Nestle,ACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
164,200120,Puma Hair Care Product 120,Beauty,Hair Care,Puma,ACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
165,200121,Lakme Kitchen Product 121,Home,Kitchen,Lakme,INACTIVE,2026-07-14 04:42:25.369,2026-07-14 04:42:25.369
